address,addressnum,bbl,bin,boro,borocode,capacity,captype,cd,city,council,ct2010,ct2020,datasource,facdomain,facgroup,facname,facsubgrp,factype,latitude,longitude,nta2010,nta2020,opabbrev,opname,optype,overabbrev,overagency,overlevel,policeprct,schooldist,servarea,streetname,uid,xcoord,ycoord,zipcode,_ntacode,_ntaname
51-40 59 STREET,51-40,4023440004,4054167,QUEENS,4,0,,402,WOODSIDE,30,24300,24300,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,METRO COMMUNITY HEALTH CENTER QUEENS,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.73569641,-73.90671762,QN50,QN0203,Non-public,"Metro Community Health Centers, Inc.",Non-public,NYSDOH,NYS Department of Health,State,108,24,Regional,59 STREET,d6eb054e35b1899967961887cd574b08,1010101.561,207324.3991,11377,QN50,Elmhurst-Maspeth
66-20 QUEENS BOULEVARD,66-20,4024200019,4056084,QUEENS,4,0,,402,WOODSIDE,30,24300,24300,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,ROGOSIN KIDNEY CENTER-QUEENS DIALYSIS,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.74018757,-73.89809399,QN50,QN0203,Non-public,The Rogosin Institute Inc,Non-public,NYSDOH,NYS Department of Health,State,108,24,Regional,QUEENS BOULEVARD,da49fb42bf87bc5c73357f5fc558c4d2,1012489.544,208963.3295,11377,QN50,Elmhurst-Maspeth
160 BEACH 29 STREET,160,4158200001,4467711,QUEENS,4,0,,414,FAR ROCKAWAY,31,99802,99802,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,P256Q@P043Q,HOSPITALS AND CLINICS,SCHOOL BASED HOSPITAL EXTENSION CLINIC,40.59374656,-73.76129431,QN15,QN1401,Non-public,NYU Langone Hospitals,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,BEACH 29 STREET,1021891c8585053d79b551de1d0c99fe,1050543.92,155684.6188,11691,QN15,Far Rockaway-Bayswater
327 BEACH 19 STREET,327,4156360001,4430537,QUEENS,4,0,,414,FAR ROCKAWAY,31,99801,99801,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,ST JOHNS EPISCOPAL HOSPITAL SO SHORE,HOSPITALS AND CLINICS,HOSPITAL,40.59865764,-73.75348507,QN15,QN1401,Non-public,Episcopal Health Services Inc,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,BEACH 19 STREET,1c3397784de33a4b33a57ca7c8bde383,1052707.678,157479.8488,11691,QN15,Far Rockaway-Bayswater
10-45 NAMEOKE STREET,Oct-45,4155570025,4298234,QUEENS,4,0,,414,FAR ROCKAWAY,31,103202,103202,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,VILLAGE ACADEMY,HOSPITALS AND CLINICS,SCHOOL BASED HOSPITAL EXTENSION CLINIC,40.60394162,-73.74984346,QN15,QN1401,Non-public,NYU Langone Hospitals,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,NAMEOKE STREET,554cbb2cc19dfd45bee90a7d7ec8635f,1053713.46,159407.8001,11691,QN15,Far Rockaway-Bayswater
825 HICKSVILLE ROAD,825,4155970001,4298856,QUEENS,4,0,,414,FAR ROCKAWAY,31,101002,101002,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,PS 197 THE OCEAN SCHOOL,HOSPITALS AND CLINICS,SCHOOL BASED HOSPITAL EXTENSION CLINIC,40.59970962,-73.7440891,QN15,QN1401,Non-public,NYU Langone Hospitals,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,HICKSVILLE ROAD,62687c5a8799eacf8ec261d02af39a68,1055315.83,157870.5959,11691,QN15,Far Rockaway-Bayswater
10-45 NAMEOKE STREET,Oct-45,4155570025,4298234,QUEENS,4,0,,414,FAR ROCKAWAY,31,103202,103202,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,BRIAN PICOLO/INTERMEDIATE SCHOOL #53 SCHOOL CLINIC,HOSPITALS AND CLINICS,SCHOOL BASED HOSPITAL EXTENSION CLINIC,40.60394162,-73.74984346,QN15,QN1401,Non-public,Long Island Jewish Medical Center,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,NAMEOKE STREET,a281e0cb25e8f4e6112d3125d0a808e4,1053713.46,159407.8001,11691,QN15,Far Rockaway-Bayswater
160 BEACH 29 STREET,160,4158200001,4467711,QUEENS,4,0,,414,FAR ROCKAWAY,31,99802,99802,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,PS 043,HOSPITALS AND CLINICS,SCHOOL BASED HOSPITAL EXTENSION CLINIC,40.59374656,-73.76129431,QN15,QN1401,Non-public,NYU Langone Hospitals,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,BEACH 29 STREET,7d2ca2a6254645d6b8904a167e31daef,1050543.92,155684.6188,11691,QN15,Far Rockaway-Bayswater
20-12 MOTT AVENUE,20-12,4155377501,4623326,QUEENS,4,0,,414,FAR ROCKAWAY,31,103202,103202,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,PSYCHIATRIC DAY TREATMENT CLINIC,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.60564611,-73.75313936,QN15,QN1401,Non-public,Episcopal Health Services Inc,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,MOTT AVENUE,95e7846ed295856e465c3baf748eae5e,1052796.506,160026.1889,11691,QN15,Far Rockaway-Bayswater
16-00 CENTRAL AVENUE,16-00,4155370147,4297967,QUEENS,4,0,,414,FAR ROCKAWAY,31,103202,103202,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,FAR ROCKAWAY TREATMENT CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.6054057,-73.75234061,QN15,QN1401,Non-public,Long Island Jewish Medical Center,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,CENTRAL AVENUE,db4d0626150bf8860140a6d9a8c1dace,1053018.546,159939.2291,11691,QN15,Far Rockaway-Bayswater
521 BEACH 20 STREET,521,4157600033,4300974,QUEENS,4,0,,414,FAR ROCKAWAY,31,99801,99801,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,COMMUNITY MENTAL HEALTH CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.60023027,-73.75426197,QN15,QN1401,Non-public,Episcopal Health Services Inc,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,BEACH 20 STREET,e7658d71feb4978756632795bd5da1e1,1052490.324,158052.192,11691,QN15,Far Rockaway-Bayswater
821 BAY 25 STREET,821,4157360001,4300730,QUEENS,4,0,,414,FAR ROCKAWAY,31,100802,100804,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,FAR ROCKAWAY HS CLINIC,HOSPITALS AND CLINICS,SCHOOL BASED HOSPITAL EXTENSION CLINIC,40.60161011,-73.76394973,QN15,QN1401,Non-public,Long Island Jewish Medical Center,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,BAY 25 STREET,f76666b90f805e656cbbe467c297b85a,1049798.732,158547.502,11691,QN15,Far Rockaway-Bayswater
495 BEACH 20 STREET,495,4157670048,4301055,QUEENS,4,0,,414,FAR ROCKAWAY,31,99801,99801,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,ST. JOHN'S EPISCOPAL HOSPITAL AMBULATORY CARE CENTER,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.59961622,-73.7544211,QN15,QN1401,Non-public,Episcopal Health Services Inc,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,BEACH 20 STREET,c81e7599e78fa7fd8787d0823137da49,1052446.762,157828.356,11691,QN15,Far Rockaway-Bayswater
529 BEACH 20 STREET,529,4157600027,4457770,QUEENS,4,0,,414,FAR ROCKAWAY,31,99801,99801,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,ROCKAWAY DIALYSIS,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.60048976,-73.75413898,QN15,QN1401,Non-public,Rockaway HD LLC,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,BEACH 20 STREET,f1a1de3abc87bf169dfc5081eb84e66a,1052524.214,158146.8241,11691,QN15,Far Rockaway-Bayswater
1284-1292 CENTRAL AVEUNE,,0,0,QUEENS,4,0,,414,FAR ROCKAWAY,31,103202,103202,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,JOSEPH P ADDABBO FAMILY HEALTH CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.607697,-73.749008,QN15,QN1401,Non-public,Joseph P Addabbo Family Health Center Inc,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,,f7dfa76d60c57ec83ed9f50ab053c01e,1053941.53,160776.6391,11691,QN15,Far Rockaway-Bayswater
136-25 37 AVENUE,136-25,4049770096,4112372,QUEENS,4,0,,407,FLUSHING,20,86900,86900,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,MAIN STREET RADIOLOGY AT BAYSIDE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.76209664,-73.8302423,QN22,QN0707,Non-public,Main Street Radiology at Bayside LLC,Non-public,NYSDOH,NYS Department of Health,State,109,25,Regional,37 AVENUE,29043c08ec32fa85a277672f289527a9,1031276.684,216974.6533,11354,QN22,Flushing
136-26 37 AVENUE,136-26,4049780013,4112477,QUEENS,4,0,,407,FLUSHING,20,87100,87100,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,ASIAN HEALTH CENTER OF FLUSHING,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.76153584,-73.83001377,QN22,QN0707,Non-public,Chinatown Action for Progress Inc,Non-public,NYSDOH,NYS Department of Health,State,109,25,Regional,37 AVENUE,2af72da524228b3ace9da8339761789e,1031340.388,216770.458,11354,QN22,Flushing
36-36 MAIN STREET,36-36,4049717502,4540141,QUEENS,4,0,,407,FLUSHING,20,86900,86900,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,QUEENS SURGICAL CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.76204328,-73.83207352,QN22,QN0707,Non-public,Queens Surgical Center LLC,Non-public,NYSDOH,NYS Department of Health,State,109,25,Regional,MAIN STREET,37e6ad1732b5e22922ea11c9c5859f90,1030769.432,216954.2355,11354,QN22,Flushing
131-72 40 ROAD,131-72,4050600037,4618847,QUEENS,4,0,,407,FLUSHING,20,87100,87100,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHARLES B WANG COMMUNITY HEALTH CENTER INC,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.75668933,-73.83441777,QN22,QN0707,Non-public,Chinatown Action for Progress Inc,Non-public,NYSDOH,NYS Department of Health,State,109,25,Regional,40 ROAD,83631e762be2cefdc4b4431f86aaca3c,1030123.709,215002.3812,11354,QN22,Flushing
136-02 ROOSEVELT AVENUE,136-02,4050190011,4113548,QUEENS,4,0,,407,FLUSHING,20,85300,85300,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,"FLUSHING ENDOSCOPY CENTER, LLC",HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.75940417,-73.82968905,QN22,QN0707,Non-public,"Flushing Endoscopy Center, LLC",Non-public,NYSDOH,NYS Department of Health,State,109,25,Regional,ROOSEVELT AVENUE,ec4520b7239636460b747e1b1fe7f8db,1031431.854,215993.9995,11354,QN22,Flushing
137-43 45 AVENUE,137-43,4051450086,4540422,QUEENS,4,0,,407,FLUSHING,20,84500,84500,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHARLES B WANG COMMUNITY HEALTH CENTER INC,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.75171102,-73.82227775,QN22,QN0705,Non-public,Chinatown Action for Progress Inc,Non-public,NYSDOH,NYS Department of Health,State,109,25,Regional,45 AVENUE,d4aa1e737fcb1093cc3c64d43c672af4,1033490.714,213195.2161,11355,QN22,Flushing
136-65 37 AVENUE,136-65,4049770080,4112364,QUEENS,4,0,,407,FLUSHING,20,86900,86900,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,CENTERLIGHT HEALTHCARE D&TC,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.76248937,-73.82882993,QN22,QN0707,Non-public,CenterLight Healthcare Diagnostic and Treatment Center,Non-public,NYSDOH,NYS Department of Health,State,109,25,Regional,37 AVENUE,d6ef6943c86bf169dd39467f9a86618e,1031667.661,217118.4985,11354,QN22,Flushing
69-15B AUSTIN STREET,,0,0,QUEENS,4,0,,406,FOREST HILLS,29,71100,71100,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,NY MED,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.721569,-73.84848,QN17,QN0602,Non-public,"Queens Medical Pavilion, LLC",Non-public,NYSDOH,NYS Department of Health,State,112,28,Regional,,16692687fa8c6d8eef3751673292eae2,1026249.977,202199.9026,11375,QN17,Forest Hills
68-60 AUSTIN STREET,68-60,4032340029,4077447,QUEENS,4,0,,406,FOREST HILLS,29,71100,71100,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,NEW YORK PREVENTIVE HEALTH CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.72206638,-73.85062672,QN17,QN0602,Non-public,Ajay 28 LLC,Non-public,NYSDOH,NYS Department of Health,State,112,28,Regional,AUSTIN STREET,428e44c9ba8cd74c7312818ace490460,1025654.619,202380.0917,11375,QN17,Forest Hills
112-50 72 AVENUE,112-50,4022480099,4463785,QUEENS,4,0,,406,FOREST HILLS,29,75702,75702,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,ATRIA FOREST HILLS,HOSPITALS AND CLINICS,ENRICHED HOUSING PROGRAM,40.72201126,-73.83669723,QN17,QN0602,Non-public,"ATR New York LH, Inc.",Non-public,NYSDOH,NYS Department of Health,State,112,28,Regional,72 AVENUE,8041d6a8da58261dfa0a03e56565c624,1029515.751,202366.9002,11375,QN17,Forest Hills
102-01 66 ROAD,102-01,4021310016,4051250,QUEENS,4,0,,406,FOREST HILLS,29,71304,71304,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,LONG ISLAND JEWISH FOREST HILLS,HOSPITALS AND CLINICS,HOSPITAL,40.72903389,-73.85154712,QN17,QN0602,Non-public,Long Island Jewish Medical Center,Non-public,NYSDOH,NYS Department of Health,State,112,28,Regional,66 ROAD,6f315c119aeed59943b8e6bbd153f175,1025395.191,204918.1344,11375,QN17,Forest Hills
111-29 QUEENS BOULEVARD,111-29,4022397501,4307915,QUEENS,4,0,,406,FOREST HILLS,29,75701,75701,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,MEDEX DIAGNOSTIC AND TREATMENT CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.71924655,-73.83784059,QN17,QN0602,Non-public,Medex Diagnostic and Treatment Center,Non-public,NYSDOH,NYS Department of Health,State,112,28,Regional,QUEENS BOULEVARD,d9d76d1c629b3bd083b218f8f4015192,1029200.688,201359.0433,11375,QN17,Forest Hills
270-05 76 AVENUE,270-05,4085200002,4439540,QUEENS,4,0,,413,GLEN OAKS,23,155102,155104,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,LONG ISLAND JEWISH MEDICAL CENTER,HOSPITALS AND CLINICS,HOSPITAL,40.75292889,-73.70931419,QN44,QN1301,Non-public,Long Island Jewish Medical Center,Non-public,NYSDOH,NYS Department of Health,State,105,26,Regional,76 AVENUE,4062a57a714183474ed2f4c098490967,1064787.463,213722.6052,11004,QN44,Glen Oaks-Floral Park-New Hyde Park
256-11 UNION TURNPIKE,256-11,4085130002,4440956,QUEENS,4,0,,413,GLEN OAKS,23,155102,155104,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,LONG ISLAND JEWISH MEDICAL CENTER PRIMARY CARE EXTENSION CLINIC,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.74671116,-73.71421884,QN44,QN1301,Non-public,Long Island Jewish Medical Center,Non-public,NYSDOH,NYS Department of Health,State,105,26,Regional,UNION TURNPIKE,be1ba0803c49c4bc10eaa314eaebd2bd,1063435.976,211452.8265,11004,QN44,Glen Oaks-Floral Park-New Hyde Park
271-11 76 AVENUE,271-11,4085200175,4173982,QUEENS,4,0,,413,NEW HYDE PARK,23,155102,155104,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,QUEENS-LONG ISLAND RENAL INSTITUTE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.75559657,-73.70749288,QN44,QN1301,Non-public,Queens-Long Island Renal Institute,Non-public,NYSDOH,NYS Department of Health,State,105,26,Regional,76 AVENUE,e6ff21841af5d40c64a32edb1d2ec021,1065288.827,214696.2016,11040,QN44,Glen Oaks-Floral Park-New Hyde Park
83-14 COOPER AVENUE,83-14,4038090041,4092479,QUEENS,4,0,,405,RIDGEWOOD,30,63700,63700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,MAIN STREET RADIOLOGY AT BAYSIDE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.71034879,-73.86576636,QN19,QN0503,Non-public,Main Street Radiology at Bayside LLC,Non-public,NYSDOH,NYS Department of Health,State,104,24,Regional,COOPER AVENUE,49ff799f04f0dc78c751840b336c07ff,1021464.622,198104.2273,11385,QN19,Glendale
74-07 88 STREET,74-07,4038550111,4094351,QUEENS,4,0,,405,RIDGEWOOD,30,63700,63700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,GENESIS RENAL CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.7081958,-73.86261574,QN19,QN0503,Non-public,Genesis Services LLC,Non-public,NYSDOH,NYS Department of Health,State,104,24,Regional,88 STREET,cc27971a362b095c27fa1564dd425cf6,1022339.324,197321.1836,11385,QN19,Glendale
80-00 COOPER AVENUE,80-00,4038100350,4462612,QUEENS,4,0,,405,RIDGEWOOD,30,63700,63700,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,ATLAS PARK DIALYSIS,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.70835547,-73.86847976,QN19,QN0503,Non-public,"Knickerbocker Dialysis, Inc",Non-public,NYSDOH,NYS Department of Health,State,104,24,Regional,COOPER AVENUE,d7583160c491f18b17d0b8b1ed96b638,1020713.455,197376.8609,11385,QN19,Glendale
83-40 WOODHAVEN BOULEVARD,83-40,4038660160,4094696,QUEENS,4,0,,405,RIDGEWOOD,30,63900,63900,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,EMU HEALTH,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.70215071,-73.85592571,QN19,QN0503,Non-public,"EMUSC, LLC",Non-public,NYSDOH,NYS Department of Health,State,104,24,Regional,WOODHAVEN BOULEVARD,e6646058fedfe217ac59b0b77ce910da,1024197.733,195121.7583,11385,QN19,Glendale
365 BEACH 56 STREET,365,4158940011,4301929,QUEENS,4,0,,414,ARVERNE,31,97204,97204,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,P256Q@J333Q,HOSPITALS AND CLINICS,SCHOOL BASED HOSPITAL EXTENSION CLINIC,40.59400692,-73.78665192,QN12,QN1402,Non-public,NYU Langone Hospitals,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,BEACH 56 STREET,22257801b51ebbb3e1f276075be7afc9,1043501.327,155761.3022,11692,QN12,Hammels-Arverne-Edgemere
365 BEACH 56 STREET,365,4158940011,4301929,QUEENS,4,0,,414,ARVERNE,31,97204,97204,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,GOLDIE MAPLE ACADEMY,HOSPITALS AND CLINICS,SCHOOL BASED HOSPITAL EXTENSION CLINIC,40.59400692,-73.78665192,QN12,QN1402,Non-public,NYU Langone Hospitals,Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,BEACH 56 STREET,9d528b687228ffecbd894a895291df9f,1043501.327,155761.3022,11692,QN12,Hammels-Arverne-Edgemere
50-15 BEACH CHANNEL DRIVE,50-15,4158420100,4301899,QUEENS,4,0,,414,FAR ROCKAWAY,31,97204,97204,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,QUALITY KIDNEY CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.59459494,-73.78145767,QN12,QN1402,Non-public,"Peninsula Continuum Services, LLC",Non-public,NYSDOH,NYS Department of Health,State,101,27,Regional,BEACH CHANNEL DRIVE,b175a83d793cfe401005a2ee3fd9e471,1044943.342,155979.0913,11691,QN12,Hammels-Arverne-Edgemere
62-00 BEACH CHANNEL DRIVE,62-00,4160150001,4302404,QUEENS,4,0,,414,ARVERNE,31,96400,96400,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,JOSEPH P ADDABBO-FAMILY HEALTH CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.59362287,-73.79194613,QN12,QN1402,Non-public,Joseph P Addabbo Family Health Center Inc,Non-public,NYSDOH,NYS Department of Health,State,100,27,Regional,BEACH CHANNEL DRIVE,b9175093b1a886a68faf90549b6f76cd,1042031.346,155617.8471,11692,QN12,Hammels-Arverne-Edgemere
190-02 JAMAICA AVENUE,190-02,4108190024,4231473,QUEENS,4,0,,412,HOLLIS,27,50000,50000,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTHMED DIAGNOSTIC & TREATMENT CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,40.7117306,-73.76932927,QN07,QN1206,Non-public,Hollis AK LLC,Non-public,NYSDOH,NYS Department of Health,State,103,29,Regional,JAMAICA AVENUE,1397f1e4ac0e3c45d80f786d09a9f8c2,1048199.243,198663.3478,11423,QN07,Hollis
200-16 HOLLIS AVENUE,200-16,4109400104,4434705,QUEENS,4,0,,412,SAINT ALBANS,27,50800,50800,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,MEDISYS FAMILY CARE - HOLLIS TUDORS,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,40.7059292,-73.75688594,QN07,QN1206,Non-public,Jamaica Hospital Inc,Non-public,NYSDOH,NYS Department of Health,State,113,29,Regional,HOLLIS AVENUE,203e2584d7ccb04781beac485d31a0de,1051654.786,196559.0599,11412,QN07,Hollis
21-10 BORDEN AVENUE,21-10,4000680002,4000526,QUEENS,4,0,,402,LONG ISLAND CITY,26,100,104,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,"HEALTHCARE CHOICES NY, INC.",HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.7399078,-73.94951607,QN31,QN0201,Non-public,"HealthCare Choices NY, Inc.",Non-public,NYSDOH,NYS Department of Health,State,108,30,Regional,BORDEN AVENUE,adee155a28b05400297c5e3be78b5c09,998239.8467,208849.0066,11101,QN31,Hunters Point-Sunnyside-West Maspeth
4-12 49 AVENUE,12-Apr,4000170028,4533416,QUEENS,4,0,,402,LONG ISLAND CITY,26,100,101,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,RIVER VIEW GARDENS NY FOUNDATION EHP #8,HOSPITALS AND CLINICS,ENRICHED HOUSING PROGRAM,40.74384248,-73.95833579,QN31,QN0201,Non-public,"New York Foundation for Senior Citizens, Inc.",Non-public,NYSDOH,NYS Department of Health,State,108,30,Regional,49 AVENUE,e0cdc7f3b0c26fcfd6e2f967fb2b1fdf,995795.09,210281.2485,11101,QN31,Hunters Point-Sunnyside-West Maspeth
30-46 NORTHERN BOULEVARD,30-46,4002390098,4540403,QUEENS,4,0,,401,LONG ISLAND CITY,26,17100,17102,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,LONG ISLAND CITY DIALYSIS,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.7513658,-73.9332271,QN31,QN0161,Non-public,"True North Dialysis Center, LLC",Non-public,NYSDOH,NYS Department of Health,State,114,30,Regional,NORTHERN BOULEVARD,a38ba17419cfbc6f264a8bc7bd4de415,1002750.578,213026.5435,11101,QN31,Hunters Point-Sunnyside-West Maspeth
37-11 QUEENS BOULEVARD,37-11,4002200009,4003140,QUEENS,4,0,,402,LONG ISLAND CITY,26,17900,17902,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,QUEENS HEALTH CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.74473614,-73.92741797,QN31,QN0202,Non-public,"NY Hotel Trades Council&Hotel Association of NYC Health Ctr, Inc.",Non-public,NYSDOH,NYS Department of Health,State,108,30,Regional,QUEENS BOULEVARD,f01a9d129bdb661763ed82ec9858d1d8,1004362.098,210612.4251,11101,QN31,Hunters Point-Sunnyside-West Maspeth
21-41 45 ROAD,21-41,4000770020,4000594,QUEENS,4,0,,402,LONG ISLAND CITY,26,700,702,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,PLANNED PARENTHOOD DIANE L. MAX QUEENS HEALTH CENTER,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.74656125,-73.94612113,QN31,QN0201,Non-public,"Planned Parenthood of Greater New York, Inc.",Non-public,NYSDOH,NYS Department of Health,State,108,30,Regional,45 ROAD,f5d759bdc1a8b01fe1021424f640e718,999179.1442,211273.6322,11101,QN31,Hunters Point-Sunnyside-West Maspeth
33-34 80 STREET,33-34,4012520001,4442764,QUEENS,4,0,,403,JACKSON HEIGHTS,25,28500,28500,nysdoh_healthfacilities,HEALTH AND HUMAN SERVICES,HEALTH CARE,INTERMEDIATE SCHOOL 145,HOSPITALS AND CLINICS,SCHOOL BASED DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,40.75439078,-73.8875241,QN28,QN0301,Non-public,NYC Health and Hospitals Corporation,Non-public,NYSDOH,NYS Department of Health,State,115,30,Regional,80 STREET,1d686ed4347e8d7c5dfff4a03b6c62b1,1015411.956,214141.5971,11372,QN28,Jackson Heights
